"course_name","tees","to_par","slope","course_rating","hole","yds","par","hole_handicap"
"El Rio","blue",70,124,69.4,"hole_1",394,4,12
"El Rio","blue",70,124,69.4,"hole_2",406,4,6
"El Rio","blue",70,124,69.4,"hole_3",427,4,4
"El Rio","blue",70,124,69.4,"hole_4",117,3,18
"El Rio","blue",70,124,69.4,"hole_5",442,4,2
"El Rio","blue",70,124,69.4,"hole_6",189,3,16
"El Rio","blue",70,124,69.4,"hole_7",376,4,8
"El Rio","blue",70,124,69.4,"hole_8",343,4,14
"El Rio","blue",70,124,69.4,"hole_9",511,5,10
"El Rio","blue",70,124,69.4,"hole_10",353,4,13
"El Rio","blue",70,124,69.4,"hole_11",446,4,1
"El Rio","blue",70,124,69.4,"hole_12",344,4,17
"El Rio","blue",70,124,69.4,"hole_13",203,3,7
"El Rio","blue",70,124,69.4,"hole_14",322,4,11
"El Rio","blue",70,124,69.4,"hole_15",366,4,15
"El Rio","blue",70,124,69.4,"hole_16",417,4,5
"El Rio","blue",70,124,69.4,"hole_17",219,3,3
"El Rio","blue",70,124,69.4,"hole_18",561,5,9
"Silverbell","blue",72,124,71.6,"hole_1",470,4,5
"Silverbell","blue",72,124,71.6,"hole_2",559,5,3
"Silverbell","blue",72,124,71.6,"hole_3",152,3,17
"Silverbell","blue",72,124,71.6,"hole_4",497,4,9
"Silverbell","blue",72,124,71.6,"hole_5",370,4,13
"Silverbell","blue",72,124,71.6,"hole_6",220,3,11
"Silverbell","blue",72,124,71.6,"hole_7",595,5,1
"Silverbell","blue",72,124,71.6,"hole_8",450,4,7
"Silverbell","blue",72,124,71.6,"hole_9",195,3,15
